polisen|the police
hur|how
är|is
vilken|which
många|many
min|my
och|and
sig|one
som|as
engelska|English
svenska|Swedish
har|have
var|where
på|on
en|one
hennes|her
han|he
ni|you
arbetar|working
hon|she
svart|black
vem|who
mellan|between
dricker|drinks
tycker|think
vi|we
skriver|writes
öl|beer
på|on
böcker|books
om|if
vår|spring
ett|one
du|you
varför|why
mina|mine
personlig|personal
officiella|official
konstiga|strange
sist|last
sista|last
officiellt|officially
personligt|personal
dåligt|badly
nödvändig|necessary
dåliga|bad ones
privat|private
konstigt|weird
nödvändigt|necessary
självständiga|independent
privata|private
självständigt|independently
kommer|comes
i|in
de|the
inte|not
man|MAN
dina|yours
den|the
det|the
fina|fine
helt|completely
lik|like
samma|same
populär|Popular
populärt|popularly
möjligt|possible
viktigt|important
fina|fine
viktig|important
olika|various
äter|eats
mig|me
mat|food
läser|reading
mitt|my
köper|buys
sin|its
för|for
tidning|newspaper
jag|I
vänster|left
smutsiga|dirty
smutsig|Dirty
smutsigt|dirty
ren|clean
nytt|new
ny|new
om|if
bok|Book
hunden|the dog
tidningen|the newspaper
säljer|selling
gamla|old
männen|the men
vad|What
gör|makes
därför|therefore
gammalt|old
äpplet|the apple
att|to
till|to
nästa|Next
gammal|old
fisk|fish
öppen|open
öppet|open
långa|long
kallt|cool
varma|warm
egna|own
varm|warm
varmt|warm
egen|own
inga|no
lagar|laws
brev|mail
barn|children
öppna|Open
hund|dog
bra|Good
kaffet|the coffee
våra|ours
din|your
mycket|very
honom|him
vilket|which
älskar|love
före|before
kvinnan|the woman
med|with
mannen|the man
så|so
hans|his
det|the
morgon|morning
vart|where
flyger|flying
er|your
då|then
nej|No
hallå|Hello
ja|yes
varsågod|You are welcome
ursäkta|excuse
natt|night
god|good
snälla|please
hej|Hello
morgon|morning
tack|thanks
kyckling|chicken
flera|several
sover|sleeping
simmar|swimming
sjunger|sings
frukost|breakfast
hästen|the horse
hos|at
åker|goes
vid|at
älgen|the elk
er|your
pasta|pasta
regnar|is raining
oss|U.S
vilka|which
svarar|answers
vems|whose
kvinnorna|the women
när|when
inget|nothing
jo|yes
förstår|understand
frågar|asks
häst|HORSE
fågel|bird
djur|animal
krabba|crab
sköldpadda|turtle
elefant|Elephant
vatten|water
spindel|spider
sköldpaddan|the turtle
bonde|peasant
ingenjören|the engineer
sitt|his
hundar|dogs
gråter|crying
hästar|horses
stöttar|supports
hittar|finds
ser|looks
lyssnar|listening
ingen|No
ditt|your
brandmän|firefighters
vakt|guard
brandmännen|the firemen
kvinna|woman
använder|uses
sina|theirs
pratar|talking
leker|playing
barnen|the children
ha|have
går|goes
citron|lemon
vill|wants
björn|bear
glass|ice cream
bröd|bread
dig|you
barn|children
kaffe|coffee
rosa|pink
kött|meat
gyllene|golden
mors|mother's
arbetare|worker
student|student
modeller|models
ert|your
tallrikar|plates
vårt|ours
smörgåsar|sandwiches
tidningar|newspapers
era|era
dess|its
djuren|the animals
hundarna|the dogs
smörgåsarna|the sandwiches
ankorna|the ducks
anka|duck
ankor|ducks
fåglar|birds
kockar|cooks
kockarna|the cooks
vin|wine
älg|Moose
eller|or
sitter|sitting
tomat|tomato
förrän|before
när|when
tar|takes
betalar|pays
tills|until
utan|without
äpplen|apples
måndag|Monday
deras|their
svarta|black
stora|large
trötta|weary
långe|long
långa|long
stort|large
långt|far
trött|tired
små|small
barnet|the child
väljer|chooses
liten|small
litet|small
lille|little
björnen|the bear
lilla|small
lunchen|the lunch
henne|her
dem|them
eftersom|since
springer|runs
vegetarian|vegetarian
innan|before
medan|while
helst|preferably
te|tea
om|if
vet|know
fläskkött|pork
men|but
fåglarna|the birds
framåt|Forward
bakom|behind
mot|against
skrattar|laughing
står|stands
åt|at
tolken|the interpreter
artistens|the artist's
pilot|Pilot
vakter|guards
domare|Judge
talar|speaking
efter|after
chefen|the boss
präst|priest
arkitekten|the architect
soldater|troops
ingenjör|engineer
prästen|the priest
bönderna|the farmers
yrke|profession
arkitekt|architect
chef|manager
soldaten|the soldier
vakterna|the guards
skådespelerskorna|the actresses
piloten|the pilot
skådespelerska|actress
domaren|the judge
brandman|fire-fighter
skådespelarna|the actors
vakten|the guard
professionell|professional
skådespelare|actor
arbetare|worker
advokat|lawyer
polis|police
artist|Artist
artisten|the artist
sekreterare|Secretary
arbetaren|the worker
karriär|career
tolk|interpreter
sekreterare|Secretary
advokaten|the lawyer
poliserna|the police officers
advokaterna|the lawyers
hoppar|jumping
under|during
sköldpaddorna|the turtles
bredvid|beside
över|over
utanför|outside
framför|in front
modellen|the model
författare|Author
arbete|work
jobb|Job
studenterna|the students
arbetet|the work
jobben|the job
läkare|Doctor
författare|Author
jobbet|the job
personalen|the staff
modell|model
personal|staff
genom|through
vattnet|the water
utan|without
katt|Cat
vit|White
socker|sugar
lunch|lunch
fisken|the fish
ägg|egg
äpplena|The apples
enligt|according to
från|from
maten|The food
katterna|the cats
hästarna|the horses
spindeln|the spider
av|of
lila|purple
vitt|White
färgglad|colorful
äpple|apple
elefanterna|the elephants
vita|White
orange|orange
olja|oil
jordgubbe|strawberry
apelsin|orange
juice|juice
nötkött|beef
måltid|meal
frukt|fruit
peppar|pepper
salt|salt
frus|frozen
tvättar|washes
katten|the cat
visar|shows
djur|animal
ritar|draws
hör|hear
smörgåsen|the sandwich
fågeln|the bird
djuret|the animal
ankan|the duck
krabban|the crab
elefanten|the elephant
soppa|soup
frukten|the fruit
teet|the tea
osten|the cheese
pastan|the pasta
ägget|the egg
pojke|boy
finns|exists
katter|cats
elefanter|elephants
ost|cheese
gula|yellow
tvilling|twin
mödrarna|the mothers
kusin|cousin
morfar|grandfather
tidningarna|the newspapers
sköldpaddor|turtles
böckerna|the books
tallrikarna|plates
barnbarn|grandchild
årstid|season
mammor|mothers
söner|sons
svärdotter|daughter-in-law
morbröder|uncles
svärson|son-in-law
morbror|uncle
mödrar|mothers
döttrar|daughters
mödrars|mothers'
barnbarnen|the grandchildren
svärfar|father in law
moster|aunt
barnbarn|grandchild
fäder|fathers
döttrars|daughters'
mor|mother
tvillingar|twins
mormor|grandmother
far|Father
farmor|grandmother
morfars|grandfather's
farfar|grandfather
tvillingbror|twin brother
kusiner|cousins
nötköttet|the beef
riset|the rice
kycklingen|the chicken
frukosten|the breakfast
vinet|the wine
oljan|the oil
soppan|the soup
tomaten|the tomato
familj|family
onsdagar|Wednesdays
saltet|the salt
glassen|the ice cream
jordgubben|the strawberry
